epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,720.189,0.38212,25.1352,1.1014,0.76661,0.73305,0.75646,0.41267,0.43349,32.1577,1.15981,0.000548258,0.000548258,0.000548258
2,1467.06,0.39202,27.7574,1.11331,0.78733,0.66112,0.73457,0.39823,0.44598,33.8851,1.18425,0.001093,0.001093,0.001093
3,2299.5,0.40179,29.3106,1.13763,0.75433,0.67226,0.71134,0.37839,0.47202,37.8675,1.22768,0.00162673,0.00162673,0.00162673
4,3125.15,0.41164,31.0463,1.15387,0.75372,0.58527,0.64198,0.3134,0.52779,42.9743,1.33128,0.00161749,0.00161749,0.00161749
5,3937.15,0.41513,31.1764,1.16546,0.79732,0.55774,0.66815,0.33265,0.48447,39.5542,1.235,0.00160099,0.00160099,0.00160099
6,4658.59,0.41433,30.9069,1.16055,0.67658,0.61828,0.66162,0.3218,0.49138,38.5029,1.26463,0.00158448,0.00158448,0.00158448
7,5294.04,0.41284,30.7378,1.15507,0.77539,0.6057,0.68185,0.33999,0.47682,36.6023,1.24081,0.00156798,0.00156798,0.00156798
8,5916.36,0.41607,31.4413,1.16845,0.79887,0.64312,0.70435,0.35116,0.5068,38.275,1.28805,0.00155148,0.00155148,0.00155148
9,6574.2,0.42493,31.6533,1.17884,0.73737,0.6428,0.71107,0.37097,0.46439,36.3954,1.21575,0.00153497,0.00153497,0.00153497
10,7200.17,0.41865,30.7837,1.17294,0.74274,0.66226,0.67826,0.32279,0.46537,36.9494,1.21714,0.00151847,0.00151847,0.00151847
11,7838.91,0.41799,30.9134,1.16703,0.8163,0.63731,0.71733,0.38989,0.45346,35.263,1.21662,0.00150197,0.00150197,0.00150197
12,8474.02,0.42286,31.2597,1.18194,0.79386,0.64266,0.71421,0.37379,0.46949,37.4552,1.22619,0.00148546,0.00148546,0.00148546
13,9112.04,0.42945,31.5064,1.18495,0.76131,0.6612,0.7066,0.38231,0.47119,36.1241,1.22704,0.00146896,0.00146896,0.00146896
14,9771.4,0.4174,31.1792,1.16462,0.75037,0.61003,0.68383,0.37447,0.46215,36.0112,1.21756,0.00145246,0.00145246,0.00145246
15,10511.7,0.41635,30.0562,1.16172,0.75647,0.64258,0.7022,0.33363,0.48171,35.8376,1.23918,0.00143595,0.00143595,0.00143595
16,11147.7,0.41663,30.2513,1.15699,0.72751,0.60161,0.66222,0.31943,0.47228,37.6349,1.25098,0.00141945,0.00141945,0.00141945
17,11780.8,0.41903,30.3205,1.16323,0.72876,0.63935,0.70063,0.34592,0.48068,36.2118,1.24522,0.00140295,0.00140295,0.00140295
18,12372.5,0.41562,31.105,1.16546,0.78549,0.66821,0.70676,0.36049,0.48481,35.0962,1.24853,0.00138644,0.00138644,0.00138644
19,12961.9,0.41348,30.0251,1.15774,0.75261,0.61869,0.67583,0.32809,0.47762,36.6794,1.22671,0.00136994,0.00136994,0.00136994
20,13550.7,0.42146,30.0879,1.19154,0.76657,0.65624,0.71771,0.36005,0.46944,36.9989,1.24928,0.00135344,0.00135344,0.00135344
21,14080.1,0.42165,30.6451,1.17196,0.741,0.66294,0.72705,0.39703,0.45296,34.9943,1.19311,0.00133693,0.00133693,0.00133693
22,14575.7,0.41508,29.4177,1.16418,0.77857,0.5714,0.6745,0.33452,0.4947,36.1657,1.25356,0.00132043,0.00132043,0.00132043
23,15184.4,0.41549,29.5337,1.15679,0.7584,0.6128,0.67349,0.34998,0.49158,36.665,1.25254,0.00130393,0.00130393,0.00130393
24,15810.1,0.4184,29.7396,1.1757,0.76338,0.66168,0.71908,0.37332,0.46079,34.838,1.2114,0.00128742,0.00128742,0.00128742
25,16420.8,0.41205,29.3966,1.15721,0.7325,0.58527,0.67295,0.32166,0.48536,39.1052,1.24108,0.00127092,0.00127092,0.00127092
26,17016.4,0.41087,30.0075,1.15853,0.81056,0.6757,0.73584,0.39278,0.45794,35.0233,1.19915,0.00125442,0.00125442,0.00125442
